"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1970459055312470298","Tue Sep 23 12:03:42 +0000 2025","0","Penjualan Mobil Listrik Tembus 6.341 Unit pada Agustus 2025 BYD M6 Kuasai Pasar https://t.co/OKYhKAWfWc","1970459055312470298","","","in","","0","0","0","https://x.com/undefined/status/1970459055312470298","157176355",
"1970458673760870556","Tue Sep 23 12:02:11 +0000 2025","0","M6 Terlaris Agustus 2025 4 Mobil Listrik BYD Masuk 10 Besar Cek Harga BYD Terbaru https://t.co/UesvAW5fOa","1970458673760870556","","","in","","0","0","0","https://x.com/undefined/status/1970458673760870556","157176355",
"1970368287168184630","Tue Sep 23 06:03:01 +0000 2025","103","Setidaknya ada 3 hal menarik di data penjualan mobil Agustus ini. 1. Suzuki Fronx melejit sendirian di kelasnya. Kompetitornya Raize Rocky dan WRV bahkan ga masuk daftar. 2. Mitsubishi Destinator jg ikutan melejit (faktor baru launching?) 3. Mobil listrik cm BYD M6 doang yg","1970368287168184630","","","in","","1","5","11","https://x.com/undefined/status/1970368287168184630","53322619",
"1970038184550809863","Mon Sep 22 08:11:19 +0000 2025","0","BYD M6 Jadi Mobil Listrik Terlaris Bulan Ini https://t.co/v5FGLqCLED","1970038184550809863","","","in","","0","0","0","https://x.com/undefined/status/1970038184550809863","1554428897432719360",
"1969776538481828244","Sun Sep 21 14:51:38 +0000 2025","0","Kesampean naik BYD M6. Mobil perang orang kaya masa kini. Tapi ga kerasa mewah https://t.co/8UqSeJelIS","1969776538481828244","https://pbs.twimg.com/media/G1YNUJnbYAAaaV1.jpg","","in","","0","0","0","https://x.com/undefined/status/1969776538481828244","1074537836479565824",
"1969752221010252276","Sun Sep 21 13:15:00 +0000 2025","2","Jika sebelumnya sudah ada model BYD M6 kini giliran GAC yang mengandalkan AION Y Plus sebagai armada taksi online. https://t.co/U6ubHPA50h","1969752221010252276","","","in","","1","0","2","https://x.com/undefined/status/1969752221010252276","69183155",
"1968194513903726632","Wed Sep 17 06:05:14 +0000 2025","0","Di kantor lagi pada galau mau ganti mobil operasional harian. Pilihanya antara detonator apa M6-nya BYD. tapi syaratnya spander harus dijual dulu. Kalo kalian pilih mana?","1968194513903726632","","","in","","0","1","0","https://x.com/undefined/status/1968194513903726632","1037029910370430976",
"1967884973324824860","Tue Sep 16 09:35:13 +0000 2025","0","Berdasarkan data Gabungan Industri Kendaraan Bermotor Indonesia (Gaikindo) per Agustus 2025 BYD tampil sebagai pemimpin penjualan mobil listrik dengan total 18.989 unit didominasi oleh model M6 yang mencatat distribusi tertinggi sebanyak 8.522 unit. https://t.co/C4CSBjaDYk https://t.co/BAiZFzQm9N","1967884973324824860","https://pbs.twimg.com/media/G09U7n6aEAAdrt4.jpg","","in","","0","0","1","https://x.com/undefined/status/1967884973324824860","1582972008479920129",
"1967855763596128389","Tue Sep 16 07:39:25 +0000 2025","0","Berikut deretan mobil listrik dan merek terlaris sepanjang Januari Agustus 2025. Simak selengkapnya: https://t.co/sedA626wwX https://t.co/y8A5WvuZVV","1967855830092702090","https://pbs.twimg.com/media/G086U8BawAAgoKG.jpg","BloombergTZ","in","","0","0","0","https://x.com/undefined/status/1967855830092702090","1582972008479920129",
"1967855763596128389","Tue Sep 16 07:39:09 +0000 2025","1","Berdasarkan data Gabungan Industri Kendaraan Bermotor Indonesia (Gaikindo) per Agustus 2025 BYD tampil sebagai pemimpin penjualan mobil listrik dengan total 18.989 unit didominasi oleh model M6 yang mencatat distribusi tertinggi sebanyak 8.522 unit.","1967855763596128389","","","in","","0","1","1","https://x.com/undefined/status/1967855763596128389","1582972008479920129",
"1967591571085574178","Mon Sep 15 14:09:21 +0000 2025","0","Grab yang aneh m6 mobil listrik paling murah BYD dan hemat bahan bakar dilabeli premium car dengan tarif premium juga harusnya lu pake mobil listrik murah tarifnya dimurahin lah ","1967591571085574178","","","in","","0","0","0","https://x.com/undefined/status/1967591571085574178","831055386",
"1860565857686159515","Sat Sep 13 11:05:15 +0000 2025","0","@innovacommunity Mobil bensin subsidinya bisa di atas mobil listrik lho. Misal sehari pakai pertalite 7 liter x subsidi Rp2000/ltr subsidi setahunnya bisa 5 juta lho lebih gede dr subsidi pajak byd M6. Apalagi kl pakai biosolar yg subsidinya bisa Rp6000/lt beuuh..","1966820464241832002","","innovacommunity","in","","0","0","0","https://x.com/undefined/status/1966820464241832002","541307903",
"1966635670018912290","Fri Sep 12 22:50:56 +0000 2025","0","Undian Pesta Hadiah IMPoin 2025 Berhadiah 4 unit #Mobil #Listrik BYD M6 Standard . INFO : https://t.co/lia5s68mEg https://t.co/JOiuZzFavZ","1966635670018912290","https://pbs.twimg.com/media/G0rks1zasAA4hKo.jpg","","in","","0","0","0","https://x.com/undefined/status/1966635670018912290","308417912",
"1965998147303587895","Thu Sep 11 04:37:39 +0000 2025","1","Seorang ibu asal Palembang kembali viral usai meminta Raffi Ahmad membelikannya mobil listrik byd m6 Rp419 juta. Sebelumnya ia juga sempat minta uang Rp200 juta ke Ivan Gunawan. #raffiahmad #bydm6 #viral #beritaviral #ivangunawan https://t.co/ss90MW8Tk2","1965998147303587895","https://pbs.twimg.com/amplify_video_thumb/1965997642259042304/img/IU_wiMrs6BpWpVao.jpg","","in","","0","0","0","https://x.com/undefined/status/1965998147303587895","483100064",
"1965231311750390145","Tue Sep 09 01:50:31 +0000 2025","1","Lebih dari sekadar mobil keluarga. BYD M6 hadir dengan kabin luas fitur pintar dan performa ramah lingkungan untuk setiap momen bersama orang tersayang #ElectricDreams #DriveTheFuture #EVIndonesia #BYDExperience #BYDLife #BYDIndonesia #DriveTheFuture #CityLife #HaveFunWithBYD https://t.co/JiLns2snGZ","1965231311750390145","https://pbs.twimg.com/amplify_video_thumb/1965231236340936704/img/WwyG14LqHLjfsVeR.jpg","","in","","0","0","0","https://x.com/undefined/status/1965231311750390145","1946400906326786048",
"1960674364208398683","Wed Aug 27 12:02:50 +0000 2025","31","Buat yg pengen tau Gmn pengalaman naik Mobil Listrik luar kota? bisa simak kisah warga Fesbuk ini. Share pengalaman roadtrip pertama menggunakan BYD M6 sekaligus roadtrip paling cape Bogor-Jogja PP -- Perjalanan roadtrip dari Bogor menuju Jogja kali ini benar-benar jadi https://t.co/1MacwT2SU7","1960674364208398683","https://pbs.twimg.com/media/GzW274Ia4AEPexr.jpg","","in","","1","2","9","https://x.com/undefined/status/1960674364208398683","1644687268299563009",
"1960594177470947794","Wed Aug 27 06:44:12 +0000 2025","0","BYD M6 juga menjadi mobil listrik terlaris dengan catatan penjualan 7.143 unit...","1960594177470947794","","","in","","0","0","0","https://x.com/undefined/status/1960594177470947794","63058555",
"1959526030206484535","Sun Aug 24 07:59:46 +0000 2025","0","Aletra L8 EV dan BYD M6 jadi dua pilihan mobil listrik keluarga saat ini. SImak perbandingan keduanya di bawah ini! https://t.co/kSfAR4N4e1","1959526030206484535","","","in","","0","0","0","https://x.com/undefined/status/1959526030206484535","350668803",
"1958122909287014606","Wed Aug 20 11:04:16 +0000 2025","0","Pajak mobil listrik jauh lebih murah dibanding mobil bensin. Kasus BYD M6 di Gading Serpong hanya Rp143 ribu setahun. https://t.co/2il1G2NS0p","1958122909287014606","","","in","","0","0","0","https://x.com/undefined/status/1958122909287014606","3042677100",
"1957958605761835429","Wed Aug 20 00:11:23 +0000 2025","0","Pajak Tahunan BYD M6 vs Toyota Avanza Bedanya Lumayan Jauh https://t.co/6vUbJlSFvf","1957958605761835429","","","in","","0","1","0","https://x.com/undefined/status/1957958605761835429","80543284",
"1957718077493436719","Tue Aug 19 08:15:36 +0000 2025","1","Ternyata enak juga ya naik mobil elektrik. BYD M6 Electric wkwk omg aku kampungan ","1957718077493436719","","","in","","1","1","0","https://x.com/undefined/status/1957718077493436719","112358699",
