"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1940665655059271866","Thu Jul 03 06:55:22 +0000 2025","0","Hitung-Hitungan Cerdas: BYD Atto 3 Bisa Hemat 80% Biaya Operasional Dibanding Mobil Bensin Baca artikelnya di ️https://t.co/o8M34Yr4H1 #BYDAtto3 #BYDHakaAuto #HakaAuto #ProvideYourDreams https://t.co/xdG8IesRAS","1940665655059271866","https://pbs.twimg.com/media/Gu6gjsyXoAEmXlV.jpg","","in","","0","0","0","https://x.com/undefined/status/1940665655059271866","1845643642016530432",
"1938081533643899024","Thu Jun 26 03:47:00 +0000 2025","0","Mobil Listrik BYD Atto 3 Canggih Mulai 390 Jutaan https://t.co/1wZV3kcJHc https://t.co/A4n6V3C6Ju","1938081533643899024","https://pbs.twimg.com/media/GuVy4oVWwAAOY72.jpg","","in","","0","0","0","https://x.com/undefined/status/1938081533643899024","1890637213328896001",
"1937319967332139490","Tue Jun 24 01:20:48 +0000 2025","0","Seberapa Laris BYD Atto 3? Jangan Kaget Sejam Laku 30 Unit https://t.co/RvYEcRxnQ3","1937319967332139490","","","in","","0","0","0","https://x.com/undefined/status/1937319967332139490","80543284",
"1927248055968866478","Tue May 27 06:18:37 +0000 2025","0","Harga Cuma Rp390 Juta! Ini Dia Mobil Listrik BYD Atto 3 Versi Murah Fitur Kece Tetap Nempel! pak https://t.co/Fp1cBNaOS6","1927248055968866478","","","in","","0","0","0","https://x.com/undefined/status/1927248055968866478","298368598",
"1927228521639743664","Tue May 27 05:01:00 +0000 2025","0","BYD Atto 3 Punya Varian Baru Harganya Jauh Lebih Murah https://t.co/rPi3JJ1FtV","1927228521639743664","","","in","","0","0","0","https://x.com/undefined/status/1927228521639743664","1578222594",
"1927209508708679755","Tue May 27 03:45:27 +0000 2025","0","BYD Atto 3 Ada Versi Lebih Murah Harga Rp 300 Jutaan! https://t.co/88WldBo829","1927209508708679755","","","in","","0","0","0","https://x.com/undefined/status/1927209508708679755","80543284",
"1922635462369288285","Wed May 14 12:49:49 +0000 2025","0","Pada 2023 sebuah BYD Atto 3 terbakar saat pengisian daya di Hong Kong. Ahli setempat menduga penyebabnya adalah korsleting pada sistem kelistrikan kendaraan. Cek lebih lanjut https://t.co/YIANDtufQj #mobillistrik #bydindonesia #bydseal #Eurovision2025","1922635462369288285","","","in","","0","2","0","https://x.com/undefined/status/1922635462369288285","1774090318851588096",
"1920366650991272196","Thu May 08 06:34:22 +0000 2025","0","Harga Mobil Listrik Seres 3 Lebih Murah dari BYD Atto 3 Siapa yang Lebih Unggul https://t.co/eGPwRI4yWl","1920366650991272196","","","in","","0","0","0","https://x.com/undefined/status/1920366650991272196","1605375478952792067",
"1920365711597109741","Thu May 08 06:30:38 +0000 2025","0","Harga Mobil Listrik Seres 3 Lebih Murah dari BYD Atto 3 Siapa yang Lebih Unggul https://t.co/eGPwRI4yWl","1920365711597109741","","","in","","0","0","0","https://x.com/undefined/status/1920365711597109741","1605375478952792067",
"1919356912023355486","Mon May 05 11:42:02 +0000 2025","0","Polytron siap luncurkan mobil listrik pertama buatan Indonesia kolaborasi dengan Skyworth hadir 6 Mei 2025 sambut HUT ke-50. https://t.co/sKkN1FImLB","1919356912023355486","","","in","","0","0","0","https://x.com/undefined/status/1919356912023355486","1404018642",
