"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1925738032906330574","Fri May 23 02:18:20 +0000 2025","0","Kata para user EV kalo punya modal 400 jutaan aja disuruh ambil ini. MG 4 EV dan iyasih di Jakarta banyak banget tiba tiba mobil ini selain kencang katanya bantinganya paling enak. Apa iya Ev user? #mg4ev #mobillistrik #ev https://t.co/AGdfqk2XfY","1925738032906330574","https://pbs.twimg.com/amplify_video_thumb/1925737941436964864/img/CJQ7j-2kgi_tZE-L.jpg","","in","","0","0","0","https://x.com/undefined/status/1925738032906330574","1691712911641812992",
"1925574544456384580","Thu May 22 16:03:44 +0000 2025","2","@SelebtwitMobil keduanya punya charm masing-masing dan sama-sama asik untuk dikendarai. cuman... - doyan nyetir secara intens? MG 4 EV - butuh mobil yg lebih praktis dan nyaman? MG ZS EV","1925583364696035333","","SelebtwitMobil","in","","0","0","1","https://x.com/undefined/status/1925583364696035333","922327679344320512",
"1923351881234989283","Fri May 16 12:16:37 +0000 2025","0","Saya amati makin banyak mobil EV di Kudus ini dengan variasi banyak merk. Hyundai Kona Ioniq 5 Wuling Air Binguo Cloud Nissan Kicks BYD ga apal tipe²nya MG 4 EV yg cakep itu","1923351881234989283","","","in","","0","0","0","https://x.com/undefined/status/1923351881234989283","49465717",
"1920336416799961409","Thu May 08 04:40:45 +0000 2025","5","@ertigaid Intinya Klo mau mobil listrik yg asyik untuk dikemudikan dengan harga yg lebih ekonomis liriklah MG 4 EV (oom mobi approved kok). Klo punya uang lebih ioniq 5 ioniq 6 ama EV6 bisa dipertimbangkan. Klo kelebihan duit bisa lah Cyberster ","1920338055212511375","","ertigaid","in","","0","0","0","https://x.com/undefined/status/1920338055212511375","922327679344320512",
"1918956000817590676","Sun May 04 09:08:57 +0000 2025","5","Min minta rekomend mobil max 400jt donk. Mobil saat ini vw polo (suka karena tenaga gede lincah kabin kedap) pengen cari yg kompak lagi gamau SUV MPV. Diutamakan mobil listrik supaya bebas gage. Trimss Sejauh ini cuma kepikir byd dolphin ato MG 4 https://t.co/mJZcvyc9G4","1918956000817590676","https://pbs.twimg.com/media/GqGAJeBbAAAqlCk.jpg","","in","","0","9","1","https://x.com/undefined/status/1918956000817590676","1278721867637862400",
"1913849095560831099","Sun Apr 20 06:58:08 +0000 2025","0","@okhe191914 Prospek penjualan mobil MG di Indonesia 2025 cukup menjanjikan meski Q1 turun 20 4% (545 unit). Peluncuran model baru seperti MG4 EV (baterai 64 kW) MG5 GT facelift SUV dan MPV di GIIAS 2025 dapat membalikkan tren. Kebijakan pemerintah mendukung EV dengan target 400.000 unit","1913849650265899200","","okhe191914","in","","0","0","0","https://x.com/undefined/status/1913849650265899200","1720665183188922368",
"1898309155137753095","Sat Mar 08 09:45:46 +0000 2025","5","Belom ni selalu cas d rumah wkwk Anyway moots gw yang terlihat beli mobil baru di 2025 ternyata EV semua Mg zs Aion v Mg4 (4 unit) J6 Hyunde Konak ix1","1898309155137753095","","","in","","0","1","1","https://x.com/undefined/status/1898309155137753095","70292309",
"1893279768293802296","Sat Feb 22 12:40:46 +0000 2025","0","MG Motor Indonesia Tandai Satu Tahun Produksi Lokal MG 4 EV https://t.co/m9d9ruwWfo","1893279768293802296","","","in","","0","0","0","https://x.com/undefined/status/1893279768293802296","1578222594",
"1892515856216703323","Thu Feb 20 10:05:16 +0000 2025","0","https://t.co/MMISm6dD0i","1892515856216703323","","","zxx","","0","0","0","https://x.com/undefined/status/1892515856216703323","3245882905",
"1891791666249425319","Tue Feb 18 10:07:35 +0000 2025","0","https://t.co/9z9qelkr3n","1891791666249425319","","","zxx","","0","0","0","https://x.com/undefined/status/1891791666249425319","3245882905",
